"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Cash2023",""
"","Miguel Sano","3B","MIN","105","0.648","99","0.611","380","94","19","2","34","79","0.247","0.346","0.576","0.923","2.48","91.61","$0",""
"","Kyle Seager","3B","SEA","107","0.661","104","0.642","393","93","19","1","23","63","0.237","0.318","0.466","0.784","3.22","40.75","$0",""
"","Manuel Margot","CF","SD","151","0.932","98","0.605","398","93","19","3","12","37","0.234","0.304","0.387","0.691","1.86","34.75","$7,000,000",""
"","Jarrod Dyson","CF","ARI","130","0.803","91","0.562","400","92","11","2","7","27","0.230","0.313","0.320","0.633","1.45","28.92","$0",""
"","Gary Sanchez","C","NYY","106","0.654","101","0.624","396","92","12","1","34","77","0.232","0.316","0.525","0.841","3.13","83.55","$0",""
"","Brandon Drury","3B","TOR","121","0.747","110","0.679","418","91","21","1","15","41","0.218","0.262","0.380","0.642","-0.59","13.02","$8,500,000",""
"","Maikel Franco","3B","PHI","123","0.759","100","0.617","389","91","17","0","17","56","0.234","0.297","0.409","0.705","-0.24","13.86","$0",""
"","Nicky Lopez","SS","KC","103","0.636","100","0.617","379","91","22","2","2","30","0.240","0.276","0.325","0.601","-0.24","10.62","$3,700,000",""
"","Jesse Winker","LF","CIN","113","0.698","87","0.537","338","91","17","2","16","38","0.269","0.357","0.473","0.830","0.87","50.01","$8,250,000",""
"","Jose Peraza","SS","CIN","141","0.870","88","0.543","376","90","18","2","6","33","0.239","0.285","0.346","0.631","-1.16","5.66","$0",""
"","Jose Martinez","1B","STL","128","0.790","80","0.494","334","90","13","2","10","42","0.270","0.341","0.410","0.751","-0.36","21.45","$0",""
"","Delino DeShields","CF","TEX","118","0.728","94","0.580","357","89","15","4","4","32","0.249","0.325","0.347","0.672","1.27","34.24","$0",""
"","Stephen Piscotty","RF","OAK","95","0.586","92","0.568","357","89","17","1","13","44","0.249","0.308","0.412","0.720","0.94","0.00","$0",""
"","Neil Walker","1B","MIA","115","0.710","82","0.506","337","88","19","1","8","38","0.261","0.344","0.395","0.738","0.34","27.73","$0",""
"","Travis d'Arnaud","C","TB","103","0.636","85","0.525","351","88","16","0","16","69","0.251","0.312","0.433","0.745","-0.41","35.80","$8,000,000",""
"","Michael Chavis","3B","BOS","95","0.586","85","0.525","347","88","10","1","18","58","0.254","0.322","0.444","0.766","0.91","0.00","$0",""
"","Robinson Chirinos","C","HOU","114","0.704","106","0.654","366","87","22","1","17","58","0.238","0.347","0.443","0.790","3.85","66.06","$0",""
"","Lourdes Gurriel Jr.","2B","TOR","85","0.525","79","0.488","314","87","19","2","20","50","0.277","0.328","0.541","0.869","1.76","0.00","$5,400,000",""
"","Justin Smoak","1B","TOR","124","0.765","118","0.728","414","86","16","0","22","61","0.208","0.342","0.406","0.748","0.65","39.99","$0",""
"","Tommy La Stella","2B","LAA","82","0.506","73","0.451","292","86","8","0","16","44","0.295","0.346","0.486","0.832","1.91","0.00","$720,000",""
"","Christin Stewart","LF","DET","104","0.646","99","0.615","368","86","25","1","10","40","0.234","0.306","0.389","0.695","-0.29","22.02","$0",""
"","Rio Ruiz","3B","BAL","127","0.784","93","0.574","370","86","13","2","12","46","0.232","0.306","0.376","0.682","0.29","19.35","$0",""
"","Dwight Smith Jr.","RF","BAL","101","0.624","90","0.556","357","86","16","3","13","53","0.241","0.297","0.412","0.708","-0.51","26.34","$0",""
"","Hunter Pence","RF","TEX","84","0.519","69","0.426","286","85","17","1","18","59","0.297","0.358","0.552","0.910","1.61","0.00","$0",""
"","Mitch Garver","C","MIN","93","0.574","76","0.469","311","85","16","1","31","67","0.273","0.365","0.630","0.995","4.14","0.00","$3,900,000",""
"","Luis Rengifo","SS","LAA","108","0.667","101","0.624","357","85","18","3","7","33","0.238","0.321","0.364","0.685","1.12","31.58","$2,498,110",""
"","Wilmer Flores","2B","ARI","89","0.549","60","0.370","265","84","18","0","9","37","0.317","0.361","0.487","0.848","0.63","0.00","$6,500,000",""
"","Rowdy Tellez","1B","TOR","111","0.685","101","0.624","370","84","19","0","21","54","0.227","0.293","0.449","0.742","0.06","34.49","$4,950,000",""
"","Victor Reyes","LF","DET","68","0.422","63","0.391","275","84","16","5","3","25","0.306","0.337","0.433","0.769","1.36","0.00","$0",""
"","Willie Calhoun","LF","TEX","84","0.519","76","0.469","309","83","14","1","21","48","0.269","0.323","0.524","0.848","0.60","0.00","$0",""
"","Cavan Biggio","2B","TOR","100","0.617","98","0.605","354","83","17","2","16","48","0.235","0.364","0.429","0.793","3.01","84.53","$2,800,000",""
"","A.J. Pollock","CF","LAD","86","0.531","77","0.475","308","82","15","1","15","47","0.266","0.328","0.468","0.795","0.05","0.00","$7,000,000",""
"","Yandy Diaz","3B","TB","80","0.494","78","0.482","307","82","20","1","14","38","0.267","0.340","0.476","0.816","1.49","0.00","$6,000,000",""
"","Chad Pinder","LF","OAK","125","0.772","83","0.512","340","81","21","0","12","45","0.238","0.288","0.406","0.694","1.59","25.13","$0",""
"","Albert Almora","CF","CHC","130","0.803","80","0.494","339","80","11","1","12","32","0.236","0.271","0.381","0.651","-0.70","7.22","$0",""
"","Brandon Lowe","2B","TB","84","0.519","72","0.444","296","80","17","2","17","51","0.270","0.336","0.514","0.850","2.88","0.00","$5,250,000",""
"","Corey Dickerson","LF","PHI","78","0.482","62","0.383","260","79","28","2","12","59","0.304","0.341","0.565","0.906","0.45","0.00","$2,250,000",""
"","Carlos Correa","SS","HOU","76","0.469","75","0.463","280","78","16","1","21","59","0.279","0.358","0.568","0.926","3.68","0.00","$36,000,000",""
"","J.P. Crawford","SS","SEA","93","0.574","92","0.568","345","78","21","4","7","46","0.226","0.313","0.371","0.684","1.58","0.00","$10,000,000",""
"","David Bote","3B","CHC","127","0.784","75","0.463","303","78","17","0","11","41","0.257","0.362","0.422","0.785","2.16","43.19","$0",""
"","Didi Gregorius","SS","NYY","82","0.506","79","0.488","324","77","14","2","16","61","0.238","0.276","0.441","0.718","0.37","0.00","$0",""
"","Brock Holt","2B","BOS","87","0.537","73","0.451","259","77","14","2","3","31","0.297","0.370","0.402","0.771","1.52","0.00","$0",""
"","Greg Garcia","2B","SD","134","0.827","74","0.457","311","77","13","4","4","31","0.248","0.364","0.354","0.718","0.83","27.79","$0",""
"","Ben Gamel","LF","MIL","134","0.827","65","0.401","311","77","18","0","7","33","0.248","0.337","0.373","0.710","0.65","21.02","$0",""
"","Carson Kelly","C","ARI","111","0.685","85","0.525","314","77","19","0","18","47","0.245","0.348","0.478","0.826","1.67","59.01","$4,275,000",""
"","Cheslor Cuthbert","DH","KC","87","0.537","76","0.469","309","76","14","0","9","40","0.246","0.294","0.379","0.673","-0.94","0.00","$0",""
"","Pedro Severino","C","BAL","96","0.593","83","0.512","305","76","13","0","13","44","0.249","0.321","0.420","0.740","1.05","0.00","$0",""
"","Mitch Moreland","1B","BOS","91","0.562","77","0.475","298","75","17","1","19","58","0.252","0.328","0.507","0.835","1.33","0.00","$0",""
"","Josh Phegley","C","OAK","106","0.654","90","0.556","314","75","18","0","12","62","0.239","0.282","0.411","0.693","0.31","22.05","$0",""
"","Kurt Suzuki","C","WSH","85","0.525","70","0.432","280","74","11","0","17","63","0.264","0.324","0.486","0.809","0.47","0.00","$0",""
"","Jesus Aguilar","1B","TB","131","0.809","78","0.482","314","74","12","0","12","50","0.236","0.325","0.389","0.714","-0.58","19.28","$3,000,000",""
"","Garrett Hampson","2B","COL","105","0.648","72","0.444","299","74","9","4","8","27","0.248","0.302","0.385","0.686","0.41","24.07","$0",""
"","Steve Wilkerson","2B","BAL","119","0.735","87","0.537","329","74","18","2","10","35","0.225","0.286","0.383","0.669","-0.65","12.06","$0",""
"","Pablo Sandoval","3B","SF","108","0.667","55","0.340","272","73","23","0","14","41","0.268","0.313","0.507","0.820","1.30","43.27","$0",""
"","Tucker Barnhart","C","CIN","115","0.710","87","0.537","316","73","14","0","11","40","0.231","0.328","0.380","0.708","0.46","19.58","$3,250,000",""
"","Elias Diaz","C","PIT","102","0.630","75","0.463","303","73","14","0","2","28","0.241","0.296","0.307","0.603","-1.10","4.86","$5,500,000",""
"","Logan Forsythe","2B","TEX","102","0.630","86","0.531","317","72","17","1","7","39","0.227","0.325","0.353","0.678","-0.37","19.74","$0",""
"","Tim Beckham","3B","SEA","89","0.549","81","0.500","304","72","21","1","15","47","0.237","0.293","0.461","0.753","0.40","0.00","$0",""
"","Mike Tauchman","CF","NYY","87","0.537","77","0.475","260","72","18","1","13","47","0.277","0.362","0.504","0.865","3.95","0.00","$0",""
"","Danny Jansen","C","TOR","107","0.661","98","0.605","347","72","12","1","13","43","0.208","0.279","0.360","0.640","1.06","21.54","$3,500,000",""
"","Martin Maldonado","C","HOU","106","0.654","98","0.605","333","71","19","0","12","27","0.213","0.293","0.378","0.671","0.98","22.50","$4,000,000",""
"","Donovan Solano","2B","SF","81","0.500","42","0.259","215","71","13","1","4","23","0.330","0.360","0.456","0.815","1.45","0.00","$0",""
"","Tom Murphy","C","SEA","76","0.469","71","0.438","260","71","12","1","18","40","0.273","0.324","0.535","0.858","2.63","0.00","$1,625,000",""
"","Byron Buxton","CF","MIN","88","0.543","78","0.482","271","71","30","4","10","46","0.262","0.314","0.513","0.827","2.97","0.00","$15,000,000",""
"","Harrison Bader","RF","STL","129","0.796","95","0.586","347","71","14","3","12","39","0.205","0.314","0.366","0.680","2.29","38.49","$4,700,000",""
"","Matt Adams","1B","WSH","111","0.685","71","0.438","310","70","14","0","20","56","0.226","0.276","0.465","0.741","0.54","20.88","$0",""
"","Yan Gomes","C","WSH","98","0.605","90","0.556","314","70","16","0","12","43","0.223","0.316","0.389","0.704","1.41","30.15","$6,000,000",""
"","Jacoby Jones","CF","DET","89","0.553","84","0.522","298","70","19","3","11","26","0.235","0.310","0.430","0.740","-0.13","0.00","$0",""
"","Jon Berti","2B","MIA","75","0.463","60","0.370","256","70","14","1","6","24","0.273","0.348","0.406","0.755","1.48","0.00","$2,100,000",""
"","Brian McCann","C","ATL","85","0.525","79","0.488","277","69","9","0","12","45","0.249","0.323","0.412","0.734","0.17","0.00","$0",""
"","Jordy Mercer","SS","DET","74","0.460","72","0.447","255","69","16","0","9","22","0.271","0.311","0.439","0.750","0.46","0.00","$0",""
"","Billy Hamilton","CF","ATL","119","0.735","89","0.549","316","69","14","2","0","15","0.218","0.289","0.275","0.564","0.59","8.32","$0",""
"","Jose Osuna","1B","PIT","95","0.586","58","0.358","261","69","20","0","10","36","0.264","0.310","0.456","0.766","-0.16","0.00","$0",""
"","Cameron Maybin","RF","NYY","83","0.512","66","0.407","239","68","17","0","11","32","0.285","0.364","0.494","0.858","1.61","0.00","$0",""
"","Jonathan Lucroy","C","CHC","102","0.630","78","0.482","293","68","10","1","8","36","0.232","0.305","0.355","0.660","-0.69","11.99","$0",""
"","Jake Marisnick","CF","HOU","120","0.741","73","0.451","292","68","16","3","10","34","0.233","0.289","0.411","0.700","1.45","24.89","$0",""
"","Jeimer Candelario","3B","DET","94","0.584","88","0.547","334","68","17","2","8","32","0.204","0.307","0.338","0.645","0.21","0.00","$5,000,000",""
"","Jay Bruce","RF","PHI","100","0.617","77","0.475","310","67","17","0","26","59","0.216","0.261","0.523","0.784","0.33","20.95","$0",""
"","Stephen Vogt","C","SF","99","0.611","56","0.346","255","67","24","2","10","40","0.263","0.314","0.490","0.804","1.09","41.00","$0",""
"","Dawel Lugo","SS","DET","77","0.478","70","0.435","272","66","10","4","6","26","0.243","0.268","0.375","0.643","-0.94","0.00","$0",""
"","Matt Beaty","3B","LAD","99","0.611","57","0.352","249","66","19","1","9","46","0.265","0.317","0.458","0.775","0.30","32.43","$0",""
"","Victor Caratini","C","CHC","95","0.586","60","0.370","244","65","11","0","11","34","0.266","0.348","0.447","0.794","0.93","0.00","$2,800,000",""
"","Gerardo Parra","RF","WSH","119","0.735","59","0.364","274","64","14","1","9","48","0.234","0.293","0.391","0.684","0.30","18.02","$0",""
"","Austin Romine","C","NYY","73","0.451","62","0.383","228","64","12","0","8","35","0.281","0.310","0.439","0.748","0.71","0.00","$0",""
"","Phillip Ervin","CF","CIN","94","0.580","51","0.315","236","64","11","7","7","23","0.271","0.331","0.466","0.797","0.87","0.00","$0",""
"","Austin Nola","C","SEA","79","0.488","63","0.389","238","64","12","1","10","31","0.269","0.342","0.454","0.796","1.43","0.00","$2,350,000",""
"","Ryan O'Hearn","1B","KC","105","0.648","90","0.556","328","64","13","1","14","38","0.195","0.281","0.369","0.650","-1.50","11.27","$0",""
"","Josh Naylor","1B","SD","94","0.580","63","0.389","253","63","15","0","8","32","0.249","0.315","0.403","0.719","0.01","0.00","$3,350,000",""
"","Tyler Flowers","C","ATL","85","0.525","73","0.451","271","62","11","3","11","34","0.229","0.319","0.413","0.733","-0.21","0.00","$0",""
"","Austin Riley","3B","ATL","80","0.494","68","0.420","274","62","11","1","18","49","0.226","0.280","0.471","0.750","0.07","0.00","$15,000,000",""
"","Joey Gallo","LF","TEX","71","0.438","70","0.432","241","61","15","1","22","49","0.253","0.389","0.598","0.986","3.08","0.00","$11,000,000",""
"","Bo Bichette","SS","TOR","46","0.284","46","0.284","196","61","18","0","11","21","0.311","0.359","0.571","0.930","2.35","0.00","$5,711,199",""
"","Ronny Rodriguez","2B","DET","85","0.528","69","0.429","275","61","12","3","14","43","0.222","0.253","0.440","0.693","-0.59","0.00","$0",""
"","Steven Duggar","CF","SF","74","0.457","67","0.414","261","61","12","2","4","28","0.234","0.278","0.341","0.619","-0.21","0.00","$0",""
"","Francisco Mejia","C","SD","79","0.488","57","0.352","226","60","11","2","8","22","0.266","0.316","0.438","0.754","0.60","0.00","$2,155,000",""
"","Clint Frazier","OF","NYY","69","0.426","59","0.364","225","60","14","0","12","38","0.267","0.317","0.489","0.806","-0.13","0.00","$0",""
"","Matt Joyce","LF","ATL","129","0.796","39","0.241","200","59","10","0","7","23","0.295","0.408","0.450","0.858","0.84","33.12","$0",""
"","Richie Martin","SS","BAL","120","0.741","91","0.562","283","59","8","3","6","23","0.209","0.260","0.322","0.581","-1.02","5.67","$0",""
"","Adam Haseley","OF","PHI","68","0.420","60","0.370","222","59","14","0","5","26","0.266","0.324","0.396","0.720","1.77","0.00","$0",""
"","Curtis Granderson","LF","MIA","138","0.852","68","0.420","317","58","17","1","12","34","0.183","0.281","0.356","0.637","-0.56","8.66","$0",""
"","Yonder Alonso","1B","COL","121","0.747","71","0.438","292","58","13","0","10","37","0.199","0.296","0.346","0.641","-1.03","8.99","$0",""
"","Martin Prado","1B","MIA","104","0.642","48","0.296","245","57","9","0","2","15","0.233","0.265","0.294","0.559","-1.53","0.32","$0",""
"","Aledmys Diaz","SS","HOU","69","0.426","55","0.340","210","57","12","1","9","40","0.271","0.356","0.467","0.823","1.08","0.00","$6,500,000",""
"","Ian Kinsler","2B","SD","87","0.537","63","0.389","258","56","12","0","9","22","0.217","0.278","0.368","0.646","-0.69","0.00","$0",""
"","Andrew McCutchen","RF","PHI","59","0.364","59","0.364","219","56","12","1","10","29","0.256","0.378","0.457","0.834","1.75","0.00","$5,000,000",""
"","Ronald Guzman","1B","TEX","87","0.537","73","0.451","256","56","20","0","10","36","0.219","0.309","0.414","0.723","-0.03","0.00","$0",""
"","Chris Davis","1B","BAL","106","0.654","86","0.531","307","55","9","0","12","36","0.179","0.276","0.326","0.601","-0.98","0.62","$0",""
"","Jason Castro","C","MIN","80","0.494","72","0.444","237","55","9","0","13","30","0.232","0.332","0.435","0.767","0.72","0.00","$0",""
"","Ehire Adrianza","SS","MIN","84","0.519","54","0.333","202","55","8","3","5","22","0.272","0.349","0.416","0.765","0.87","0.00","$0",""
"","Juan Lagares","CF","NYM","133","0.821","67","0.414","258","55","12","1","5","27","0.213","0.279","0.326","0.605","-0.71","3.33","$0",""
"","Joe Wendle","2B","TB","75","0.463","64","0.395","238","55","13","2","3","19","0.231","0.293","0.340","0.633","0.66","0.00","$6,000,000",""
"","Austin Hedges","C","SD","103","0.636","93","0.574","312","55","9","0","11","36","0.176","0.252","0.311","0.563","-0.73","6.17","$5,000,000",""
"","Adam Engel","CF","CHW","89","0.553","65","0.404","227","55","10","2","6","26","0.242","0.304","0.383","0.687","0.86","0.00","$0",""
"","Mitch Haniger","RF","SEA","64","0.395","62","0.383","246","54","13","1","15","32","0.220","0.315","0.463","0.778","1.50","0.00","$11,000,000",""
"","Johan Camargo","3B","ATL","98","0.605","47","0.290","232","54","12","1","7","32","0.233","0.279","0.384","0.663","-0.86","8.79","$0",""
"","Ildemaro Vargas","2B","ARI","93","0.574","35","0.216","201","54","9","1","6","24","0.269","0.299","0.413","0.712","0.55","0.00","$975,000",""
"","Josh VanMeter","2B","CIN","96","0.593","54","0.333","228","54","13","1","8","23","0.237","0.327","0.408","0.735","0.00","0.00","$0",""
"","Billy McKinney","OF","TOR","84","0.519","65","0.401","251","54","14","1","12","28","0.215","0.274","0.422","0.696","0.30","0.00","$0",""
"","Hernan Perez","2B","MIL","91","0.562","49","0.303","232","53","11","0","8","18","0.228","0.263","0.379","0.643","-0.48","0.00","$0",""
"","Aristides Aquino","RF","CIN","56","0.346","54","0.333","205","53","8","0","19","47","0.259","0.316","0.576","0.891","1.16","0.00","$0",""
"","Tim Locastro","SS","ARI","91","0.562","44","0.272","212","53","12","2","1","17","0.250","0.357","0.340","0.697","0.49","0.00","$0",""
"","Aaron Hicks","CF","NYY","59","0.364","56","0.346","221","52","10","0","12","36","0.235","0.326","0.443","0.769","1.27","0.00","$10,500,000",""
"","Curt Casali","C","CIN","84","0.519","57","0.352","207","52","9","0","8","32","0.251","0.331","0.411","0.741","1.17","0.00","$2,500,000",""
"","Tony Kemp","LF","CHC","110","0.679","56","0.346","245","52","9","4","8","29","0.212","0.291","0.380","0.671","0.28","16.08","$3,725,000",""
"","David Freese","1B","LAD","80","0.494","39","0.241","162","51","13","0","11","29","0.315","0.403","0.599","1.002","1.56","0.00","$0",""
"","Addison Russell","SS","CHC","82","0.506","55","0.340","215","51","4","1","9","23","0.237","0.308","0.391","0.699","0.57","0.00","$0",""
"","Willians Astudillo","C","MIN","58","0.358","46","0.284","190","51","9","0","4","21","0.268","0.299","0.379","0.678","0.00","0.00","$0",""
"","Jake Cave","RF","MIN","72","0.444","54","0.333","198","51","11","2","8","25","0.258","0.351","0.455","0.805","0.67","0.00","$950,000",""
"","Dylan Moore","SS","SEA","113","0.698","67","0.414","247","51","14","2","9","28","0.207","0.303","0.389","0.691","0.36","20.28","$0",""
"","Tyler White","1B","LAD","83","0.512","64","0.395","240","50","14","0","3","23","0.208","0.308","0.304","0.612","-0.50","0.00","$0",""
"","Jacob Stallings","C","PIT","73","0.451","53","0.327","191","50","5","0","6","13","0.262","0.325","0.382","0.708","1.51","0.00","$3,350,000",""
"","Dominic Smith","1B","NYM","90","0.556","35","0.216","177","50","10","0","11","25","0.283","0.355","0.525","0.881","0.65","0.00","$2,000,000",""
"","Adeiny Hechavarria","SS","ATL","84","0.519","44","0.272","203","49","12","1","9","33","0.241","0.299","0.443","0.742","-0.32","0.00","$0",""
"","Ender Inciarte","CF","ATL","65","0.401","57","0.352","199","49","11","2","5","24","0.246","0.344","0.397","0.740","0.53","0.00","$0",""
"","Gordon Beckham","2B","DET","83","0.516","56","0.348","223","48","13","2","6","15","0.215","0.271","0.372","0.643","-1.15","0.00","$0",""
"","Welington Castillo","C","CHW","74","0.460","62","0.385","230","48","12","0","12","41","0.209","0.267","0.417","0.684","-0.25","0.00","$0",""
"","Kevan Smith","C","LAA","68","0.420","51","0.315","191","48","12","0","5","20","0.251","0.318","0.393","0.710","0.53","0.00","$0",""
"","Alex Dickerson","LF","SF","70","0.432","36","0.222","174","48","13","3","6","28","0.276","0.332","0.489","0.820","-0.29","0.00","$0",""
"","Ryan Cordell","LF","CHW","97","0.603","63","0.391","217","48","8","0","7","24","0.221","0.291","0.355","0.645","-0.58","8.44","$0",""
"","Isiah Kiner-Falefa","C","TEX","65","0.401","55","0.340","202","48","12","1","1","21","0.238","0.299","0.322","0.620","-0.19","0.00","$6,000,000",""
"","Luis Urias","SS","SD","71","0.438","65","0.401","215","48","8","1","4","24","0.223","0.329","0.326","0.655","0.40","0.00","$4,700,000",""
"","Justin Upton","LF","LAA","63","0.389","60","0.370","219","47","8","0","12","40","0.215","0.309","0.416","0.724","-0.93","0.00","$0",""
"","Derek Dietrich","2B","CIN","113","0.698","67","0.414","251","47","8","2","19","43","0.187","0.328","0.462","0.790","1.02","40.64","$0",""
"","Russell Martin","C","LAD","83","0.512","52","0.321","209","46","5","0","6","20","0.220","0.337","0.330","0.667","0.62","0.00","$0",""
"","Guillermo Heredia","CF","TB","89","0.549","55","0.340","204","46","13","0","5","20","0.226","0.306","0.363","0.668","0.25","0.00","$0",""
"","Yairo Munoz","SS","STL","88","0.543","29","0.179","172","46","7","1","2","13","0.267","0.298","0.355","0.653","-0.61","0.00","$0",""
"","Ryan Zimmerman","1B","WSH","52","0.321","43","0.265","171","44","9","0","6","27","0.257","0.321","0.415","0.736","0.53","0.00","$0",""
"","Jon Jay","RF","CHW","47","0.292","44","0.273","165","44","8","0","0","9","0.267","0.311","0.315","0.626","-0.71","0.00","$0",""
"","Mike Zunino","C","TB","90","0.556","78","0.482","266","44","10","1","9","32","0.165","0.232","0.312","0.544","-0.20","0.00","$6,000,000",""
"","Brandon Nimmo","CF","NYM","70","0.432","56","0.346","199","44","11","1","8","29","0.221","0.376","0.407","0.783","0.88","0.00","$20,250,000",""
"","Daniel Robertson","SS","TB","74","0.457","58","0.358","207","44","9","1","2","19","0.213","0.312","0.295","0.607","-0.38","0.00","$0",""
"","Austin Barnes","C","LAD","75","0.463","62","0.383","212","43","12","1","5","25","0.203","0.293","0.340","0.633","0.16","0.00","$3,500,000",""
"","Will Smith","C","LAD","54","0.333","46","0.284","170","43","9","0","15","42","0.253","0.337","0.571","0.907","1.69","0.00","$5,250,000",""
"","Ty France","3B","SD","69","0.426","45","0.278","184","43","8","1","7","24","0.234","0.294","0.402","0.696","-0.31","0.00","$4,100,000",""
"","Kyle Farmer","C","CIN","98","0.605","35","0.216","183","42","6","0","9","27","0.230","0.279","0.410","0.689","0.06","12.88","$5,585,000",""
"","Grayson Greiner","C","DET","58","0.360","57","0.354","207","42","5","1","5","19","0.203","0.252","0.309","0.561","-0.61","0.00","$0",""
"","Brad Miller","2B","PHI","79","0.488","38","0.235","154","40","6","1","13","25","0.260","0.329","0.565","0.894","0.41","0.00","$4,000,000",""
"","Bubba Starling","CF","KC","56","0.346","49","0.303","186","40","7","0","4","12","0.215","0.255","0.317","0.572","-1.05","0.00","$0",""
"","Ryon Healy","1B","SEA","47","0.290","46","0.284","169","40","16","0","7","26","0.237","0.289","0.456","0.744","0.11","0.00","$0",""
"","Austin Slater","LF","SF","68","0.420","42","0.259","168","40","9","3","5","21","0.238","0.333","0.417","0.750","0.58","0.00","$3,200,000",""
"","Shed Long","INF","SEA","42","0.259","39","0.241","152","40","12","1","5","15","0.263","0.333","0.454","0.787","-0.09","0.00","$0",""
"","Austin Dean","LF","MIA","64","0.395","46","0.284","178","40","14","0","6","21","0.225","0.261","0.404","0.665","-1.34","0.00","$0",""
"","Nate Lowe","1B","TB","50","0.309","36","0.222","152","40","8","0","7","19","0.263","0.327","0.454","0.781","0.43","0.00","$4,050,000",""
"","Ben Zobrist","2B","CHC","48","0.296","38","0.235","150","39","5","0","1","17","0.260","0.358","0.313","0.671","-0.29","0.00","$0",""
"","Lewis Brinson","CF","MIA","75","0.463","64","0.395","226","39","9","1","0","15","0.173","0.236","0.221","0.457","-2.14","0.00","$0",""
"","Joey Rickard","LF","SF","68","0.420","45","0.278","168","38","9","2","3","10","0.226","0.312","0.357","0.669","0.55","0.00","$0",""
"","Travis Demeritte","LF","DET","48","0.298","46","0.286","169","38","7","2","3","10","0.225","0.287","0.343","0.630","-1.17","0.00","$0",""
"","Gregory Polanco","RF","PIT","43","0.265","36","0.222","153","37","8","1","6","17","0.242","0.301","0.425","0.726","-0.53","0.00","$0",""
"","Matt Duffy","3B","TB","46","0.284","41","0.253","147","37","8","0","1","12","0.252","0.343","0.327","0.670","0.06","0.00","$0",""
"","Ian Happ","CF","CHC","58","0.358","28","0.173","140","37","7","1","11","30","0.264","0.333","0.564","0.898","1.27","0.00","$10,850,000",""
"","Marco Hernandez","3B","BOS","63","0.389","30","0.185","148","37","7","0","2","11","0.250","0.279","0.338","0.617","-0.09","0.00","$0",""
"","Tyler O'Neill","OF","STL","61","0.377","30","0.185","141","37","6","0","5","16","0.262","0.311","0.411","0.723","0.27","0.00","$4,950,000",""
"","Mike Ford","1B","NYY","50","0.309","36","0.222","143","37","7","0","12","25","0.259","0.350","0.559","0.909","0.98","0.00","$0",""
"","Jeff Mathis","C","TEX","88","0.543","76","0.469","228","36","9","0","2","12","0.158","0.209","0.224","0.433","-1.51","0.00","$0",""
"","Matt Wieters","C","STL","67","0.414","41","0.253","168","36","4","0","11","27","0.214","0.268","0.435","0.702","0.51","0.00","$0",""
"","Manuel Pina","C","MIL","76","0.469","38","0.235","158","36","8","0","7","25","0.228","0.313","0.411","0.724","0.78","0.00","$4,500,000",""
"","Jake Lamb","1B","ARI","78","0.482","53","0.327","187","36","8","2","6","30","0.193","0.323","0.353","0.676","0.15","0.00","$0",""
"","Travis Shaw","3B","MIL","86","0.531","58","0.358","230","36","5","0","7","16","0.157","0.282","0.270","0.551","-1.46","0.00","$0",""
"","Erik Gonzalez","2B","PIT","53","0.327","38","0.235","142","36","4","1","1","6","0.254","0.301","0.317","0.618","0.53","0.00","$0",""
"","Ryan Goins","2B","CHW","52","0.323","35","0.217","144","36","6","1","2","10","0.250","0.333","0.347","0.681","0.01","0.00","$0",""
"","Michael Brosseau","3B","TB","52","0.321","32","0.198","132","36","7","0","6","16","0.273","0.319","0.462","0.781","0.59","0.00","$1,400,000",""
"","Trent Grisham","RF","MIL","51","0.315","36","0.222","156","36","6","2","6","24","0.231","0.328","0.410","0.738","0.58","0.00","$3,175,000",""
"","Charlie Culberson","2B","ATL","108","0.667","15","0.093","135","35","5","2","5","20","0.259","0.294","0.437","0.731","-0.12","7.40","$0",""
"","Chance Sisco","C","BAL","59","0.364","48","0.296","167","35","7","0","8","20","0.210","0.333","0.395","0.729","0.00","0.00","$0",""
"","Alex Avila","C","ARI","63","0.389","49","0.303","164","34","8","0","9","24","0.207","0.353","0.421","0.774","1.44","0.00","$0",""
"","Keon Broxton","RF","SEA","100","0.617","56","0.346","204","34","4","0","6","16","0.167","0.242","0.275","0.517","-0.49","4.12","$0",""
"","Nick Solak","2B","TEX","33","0.204","32","0.198","116","34","6","1","5","17","0.293","0.393","0.491","0.884","0.71","0.00","$0",""
"","Sandy Leon","C","BOS","65","0.401","50","0.309","172","33","3","0","5","19","0.192","0.251","0.297","0.548","-0.60","0.00","$0",""
"","Wilmer Difo","SS","WSH","43","0.265","35","0.216","131","33","2","0","2","8","0.252","0.315","0.313","0.628","-0.92","0.00","$0",""
"","Bryan Holaday","C","MIA","45","0.278","34","0.210","116","32","6","0","4","12","0.276","0.341","0.431","0.772","0.34","0.00","$0",""
"","Adam Duvall","RF","ATL","41","0.253","26","0.161","120","32","4","1","10","19","0.267","0.315","0.567","0.882","0.70","0.00","$7,000,000",""
"","Cesar Puello","RF","MIA","45","0.278","38","0.235","125","31","5","0","4","18","0.248","0.356","0.384","0.740","0.63","0.00","$0",""
"","Cole Tucker","SS","PIT","57","0.352","36","0.222","147","31","10","3","2","13","0.211","0.266","0.361","0.626","0.18","0.00","$0",""
"","Sam Travis","1B","BOS","59","0.364","37","0.228","144","31","4","1","6","16","0.215","0.274","0.382","0.656","-0.74","0.00","$0",""
