Rank,Player,Pos,Team,GP,GP%,GS,GS%,AB,H,2B,3B,HR,RBI,AVG,OBP,SLG,OPS,WAR,TVS,Cash2023
,George Springer,RF,TOR,154,0.951,148,0.914,613,158,25,1,21,72,0.258,0.328,0.405,0.732,2.09,25.02,"$22,500,000"
,Jeff McNeil,2B,NYM,156,0.957,151,0.926,585,158,25,4,10,55,0.27,0.333,0.378,0.711,2.34,29.06,"$10,250,000"
,Spencer Steer,3B,CIN,156,0.963,152,0.938,582,158,37,3,23,86,0.272,0.356,0.464,0.82,3.01,85.61,"$750,000"
,Ketel Marte,2B,ARI,150,0.92,144,0.883,569,157,26,9,25,82,0.276,0.359,0.485,0.844,4.93,83.22,"$13,000,000"
,Rafael Devers,3B,BOS,153,0.939,151,0.926,580,157,34,0,33,100,0.271,0.351,0.5,0.851,3.49,48.61,"$25,000,000"
,Corey Seager,SS,TEX,119,0.735,119,0.735,477,156,42,0,33,96,0.327,0.39,0.623,1.013,6.94,96.35,"$34,500,000"
,Juan Soto,LF,SD,162,0.994,160,0.982,568,156,32,1,35,109,0.275,0.41,0.519,0.93,5.56,94.26,"$31,000,000"
,William Contreras,C,MIL,141,0.87,137,0.846,540,156,38,1,17,78,0.289,0.367,0.457,0.825,3.74,88.25,"$766,900"
,Masataka Yoshida,LF,BOS,139,0.853,133,0.816,537,155,33,3,15,72,0.289,0.338,0.445,0.783,1.39,30.21,"$18,000,000"
,Justin Turner,3B,BOS,146,0.896,144,0.883,558,154,31,0,23,96,0.276,0.345,0.455,0.8,2.1,59.34,"$13,000,000"
,Francisco Lindor,SS,NYM,160,0.982,159,0.976,602,153,33,2,31,98,0.254,0.336,0.47,0.806,6.01,69.5,"$27,000,000"
,Christian Yelich,LF,MIL,144,0.889,141,0.87,550,153,34,1,19,76,0.278,0.37,0.447,0.818,3.59,65.12,"$22,000,000"
,Cody Bellinger,CF,CHC,130,0.803,128,0.79,499,153,29,1,26,97,0.307,0.356,0.525,0.881,4.44,89.48,"$27,500,000"
,Alec Bohm,1B,PHI,145,0.89,142,0.871,558,153,31,0,20,97,0.274,0.327,0.437,0.765,0.52,51.58,"$4,000,000"
,Anthony Santander,RF,BAL,153,0.944,151,0.932,591,152,41,1,28,95,0.257,0.325,0.472,0.797,3.04,70.93,"$11,700,000"
,Jeremy Pena,SS,HOU,150,0.926,149,0.92,577,152,32,3,10,52,0.263,0.324,0.381,0.705,3.84,62.31,"$783,500"
,Bryan Reynolds,CF,PIT,145,0.895,143,0.883,574,151,31,5,24,84,0.263,0.33,0.46,0.79,2.51,60.81,"$10,000,000"
,Shohei Ohtani,SP/DH,LAA,135,0.828,135,0.828,497,151,26,8,44,95,0.304,0.413,0.654,1.066,4.01,99.84,"$2,000,000"
,Christian Walker,1B,ARI,157,0.963,154,0.945,582,150,36,2,33,103,0.258,0.333,0.497,0.83,3.8,85.89,"$10,900,000"
,Nolan Arenado,3B,STL,144,0.889,143,0.883,560,149,26,2,26,93,0.266,0.315,0.459,0.774,2.36,17,"$24,000,000"
,Whit Merrifield,2B,TOR,145,0.895,137,0.846,547,149,27,0,11,67,0.272,0.318,0.382,0.7,0.77,35.98,"$7,000,000"
,Bryan De La Cruz,LF,MIA,153,0.933,147,0.896,579,149,32,0,19,78,0.257,0.304,0.411,0.715,-0.27,27.39,"$768,000"
,Fernando Tatis Jr.,RF,SD,141,0.865,140,0.859,575,148,33,1,25,78,0.257,0.322,0.449,0.77,5.46,71.56,"$11,000,000"
,Michael Harris II,CF,ATL,138,0.847,137,0.841,505,148,33,3,18,57,0.293,0.331,0.477,0.808,3.4,69.2,"$5,000,000"
